ano,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_escola,id_escola_nome,id_escola_latitude,id_escola_longitude,anos_escolares,ideb,projecao
2021,MA,Maranhão,2103109,Cedral,21004447,CENTRO DE ENSINO PEDRO NEIVA DE SANTANA,-1.99763358570821,-44.5352118183342,finais (6-9),,5.0
2021,MA,Maranhão,2103109,Cedral,21004447,CENTRO DE ENSINO PEDRO NEIVA DE SANTANA,-1.99763358570821,-44.5352118183342,iniciais (1-5),,6.2
2025,MA,Maranhão,2109056,Porto Rico do Maranhão,21004455,CENTRO DE ENSINO JOSE RIBAMAR EWERTON,-1.86024,-44.5883866666667,finais (6-9),,
2013,MA,Maranhão,2103109,Cedral,21004463,ESCOLA MUNICIPAL EUDES FARIAS,-1.92631287,-44.58611743,iniciais (1-5),,4.4
2025,MA,Maranhão,2103109,Cedral,21004501,ESCOLA MUNICIPAL JUVENIL AMORIM EWERTOM,-1.94535299,-44.55904293,iniciais (1-5),,
2011,MA,Maranhão,2111789,Serrano do Maranhão,21004790,CEF DR TRAJANO MARQUES,-1.68939115,-44.95384033,iniciais (1-5),,
2009,MA,Maranhão,2111789,Serrano do Maranhão,21004790,CEF DR TRAJANO MARQUES,-1.68939115,-44.95384033,iniciais (1-5),,
2019,MA,Maranhão,2111789,Serrano do Maranhão,21004935,CEF JOSE RAMOS,-1.8513936,-45.1150115,finais (6-9),,2.4
2023,MA,Maranhão,2111789,Serrano do Maranhão,21004935,CEF JOSE RAMOS,-1.8513936,-45.1150115,finais (6-9),,
2009,MA,Maranhão,2103703,Cururupu,21005036,UNIDADE INTEGRADA MONTEIRO LOBATO,-1.8702126,-44.6998589,finais (6-9),,
2019,MA,Maranhão,2103703,Cururupu,21005036,UNIDADE INTEGRADA MONTEIRO LOBATO,-1.8702126,-44.6998589,iniciais (1-5),,5.6
2013,MA,Maranhão,2103703,Cururupu,21005125,UNIDADE ESCOLAR PROFª JANOQUINHA,-1.84494795743376,-44.8747969977558,iniciais (1-5),,4.1
2015,MA,Maranhão,2103703,Cururupu,21005150,UNIDADE INTEGRADA SAGRADO CORACAO,-1.80265186820179,-44.7161192726344,finais (6-9),,4.3
2005,MA,Maranhão,2111789,Serrano do Maranhão,21005192,CEF SANTOS DUMONT,-1.85440625,-45.09518358,iniciais (1-5),,
2025,MA,Maranhão,2103703,Cururupu,21005311,UNIDADE ESCOLAR SAO SEBASTIAO,-1.7368326,-44.835177,iniciais (1-5),,
2009,MA,Maranhão,2111789,Serrano do Maranhão,21005451,CEF SAGRADO CORACAO,,,finais (6-9),,
